file_name,number,title,date,author,publisher
exemple_corpus/Picard_Concours_2021_1,1,Eune énée d'brin 2020,2021,Anon,Agence Régionale de la Langue Picarde
exemple_corpus/Picard_Concours_2021_2,2,Drôles de biètes,2021,Anon,Agence Régionale de la Langue Picarde
exemple_corpus/Picard_Concours_2021_3,3,Cacoules ed'ches croqueux d'orelles,2021,Anon,Agence Régionale de la Langue Picarde
exemple_corpus/Picard_Concours_2021_4,4,Lovlà l'printemps,2021,Anon,Agence Régionale de la Langue Picarde
